State Abbreviation,ccode,Lead Id,Leader,Day of Start of Term of Office,Month of Start of Term of Office,Year of Start of Term of Office,Date of Term Of Office,Month of End of Term of Office,Year of End of Term of Office,Date of End of Term of Office,Year of birth,Gender,Military Career,Month of Election or Re-election Result,Year of Election or Re-election Result,Date of Election or Re-election Result
AFG,700,cb-700-1,Ashraf Ghani,29,9,2014,2014-09-29,0,0,,1949,Male,False,6,2014,2014-06-01
TKM,701,A2.9-7774,Niyazov,27,10,1990,1990-10-27,12,2006,2006-12-01,1940,Male,False,6,1992,1992-06-01
TKM,701,A3.0-174,Berdymukhammedov,21,12,2006,2006-12-21,0,0,,1957,Male,False,2,2007,2007-02-01
TAJ,702,A2.9-7777,Kadreddin Aslonov,31,8,1991,1991-08-31,9,1991,1991-09-01,1947,Male,False,0,0,
TAJ,702,A2.9-7780,Nabiyev,23,9,1991,1991-09-23,9,1992,1992-09-01,1930,Male,False,11,1991,1991-11-01
TAJ,702,A2.9-7783,Iskandrov,7,9,1992,1992-09-07,11,1992,1992-11-01,1951,Male,False,0,0,
TAJ,702,A2.9-7786,Rakhmonov,20,11,1992,1992-11-20,0,0,,1952,Male,False,11,1994,1994-11-01
KYR,703,A2.9-7789,Akayev,27,10,1990,1990-10-27,4,2005,2005-04-01,1944,Male,False,10,1991,1991-10-01
KYR,703,A3.0-175,Bakiyev,11,4,2005,2005-04-11,4,2010,2010-04-01,1949,Male,False,7,2005,2005-07-01
KYR,703,A3.0-176,Otunbayeva,7,4,2010,2010-04-07,12,2011,2011-12-01,1950,Female,False,0,0,
KYR,703,A3.0-177,Atambayev,1,12,2011,2011-12-01,11,2017,2017-11-01,1956,Male,False,10,2011,2011-10-01
KYR,703,se-703-1,Sooronbay Jeenbekov,24,11,2017,2017-11-24,10,2020,2020-10-01,1958,Male,False,10,2017,2017-10-01
KYR,703,ctb-703-1,Sadyr Japarov,16,10,2020,2020-10-16,11,2020,2020-11-01,1968,Male,False,0,0,
KYR,703,ctb-703-2,Talant Mamytov,14,11,2020,2020-11-14,1,2021,2021-01-01,1976,Male,False,0,0,
KYR,703,ctb-703-3,Sadyr Japarov,28,1,2021,2021-01-28,0,0,,1968,Male,False,1,2021,2021-01-01
UZB,704,A2.9-7792,Karimov,24,3,1990,1990-03-24,9,2016,2016-09-01,1938,Male,False,12,1991,1991-12-01
UZB,704,cb-704-001,Shavkat Mirziyoyev,8,9,2016,2016-09-08,0,0,,1957,Male,False,12,2016,2016-12-01
KZK,705,A2.9-7795,Nazarbaev,24,4,1990,1990-04-24,3,2019,2019-03-01,1940,Male,False,12,1991,1991-12-01
KZK,705,ctb-01,Tokayev,20,3,2019,2019-03-20,0,0,,1953,Male,False,6,2019,2019-06-01
CHN,710,A2.9-7849,Mao Tse-Tung,1,10,1949,1949-10-01,9,1976,1976-09-01,1893,Male,False,0,0,
CHN,710,A2.9-7852,Hua Guofeng,7,10,1976,1976-10-07,9,1980,1980-09-01,1921,Male,True,0,0,
CHN,710,A2.9-7855,Deng Xiaoping,10,9,1980,1980-09-10,2,1997,1997-02-01,1904,Male,False,0,0,
CHN,710,A2.9-7858,Jiang Zemin,19,2,1997,1997-02-19,3,2003,2003-03-01,1926,Male,False,0,0,
CHN,710,A2.9-7861,Hu Jintao,15,3,2003,2003-03-15,11,2012,2012-11-01,1942,Male,False,0,0,
CHN,710,cb-710-1,Xi Jinping,15,11,2012,2012-11-15,0,0,,1953,Male,False,0,0,
MON,712,A2.9-7903,Choibalsan,22,3,1936,1936-03-22,1,1952,1952-01-01,1895,Male,False,0,0,
MON,712,A2.9-7906,Tsedenbal,26,1,1952,1952-01-26,8,1984,1984-08-01,1916,Male,False,0,0,
MON,712,A2.9-7909,Batmonkh,23,8,1984,1984-08-23,3,1990,1990-03-01,1926,Male,False,0,0,
MON,712,A2.9-7912,Ochirbat,12,3,1990,1990-03-12,6,1997,1997-06-01,1942,Male,False,6,1993,1993-06-01
MON,712,A2.9-7915,Bagabandi,20,6,1997,1997-06-20,6,2005,2005-06-01,1950,Male,False,5,1997,1997-05-01
MON,712,A3.0-178,Enkhbayar,24,6,2005,2005-06-24,6,2009,2009-06-01,1958,Male,False,5,2005,2005-05-01
MON,712,A3.0-179,Elbegdorj,18,6,2009,2009-06-18,7,2017,2017-07-01,1963,Male,False,5,2009,2009-05-01
MON,712,se-712-1,Khaltmaagiin Battulga,10,7,2017,2017-07-10,6,2021,2021-06-01,1963,Male,False,7,2017,2017-07-01
MON,712,mf-712-1,Khurelsukh,25,6,2021,2021-06-25,0,0,,1968,Male,False,6,2021,2021-06-01
PRK,731,A2.9-7942,Kim Il-Sung,9,9,1948,1948-09-09,7,1994,1994-07-01,1912,Male,True,0,0,
PRK,731,A2.9-7945,Kim Jong-Il,8,7,1994,1994-07-08,12,2011,2011-12-01,1942,Male,False,0,0,
PRK,731,A3.0-181,Kim Jong Un,17,12,2011,2011-12-17,0,0,,1983,Male,False,0,0,
ROK,732,A2.9-7948,Rhee,15,8,1948,1948-08-15,4,1960,1960-04-01,1875,Male,False,8,1952,1952-08-01
ROK,732,A2.9-7951,Ho Chong,27,4,1960,1960-04-27,8,1960,1960-08-01,1896,Male,False,0,0,
ROK,732,A2.9-7954,Myun Chang,12,8,1960,1960-08-12,5,1961,1961-05-01,1899,Male,False,8,1960,1960-08-01
ROK,732,A2.9-7957,Chang Do Yong,18,5,1961,1961-05-18,7,1961,1961-07-01,1923,Male,True,0,0,
ROK,732,A2.9-7960,Hee Park,3,7,1961,1961-07-03,10,1979,1979-10-01,1917,Male,True,10,1963,1963-10-01
ROK,732,A2.9-7963,Choi Kuy Hay,26,10,1979,1979-10-26,8,1980,1980-08-01,1919,Male,False,12,1979,1979-12-01
ROK,732,A2.9-7966,Park Choong Hoon,16,8,1980,1980-08-16,9,1980,1980-09-01,1919,Male,True,0,0,
ROK,732,A2.9-7969,Chun Doo Hwan,1,9,1980,1980-09-01,2,1988,1988-02-01,1931,Male,True,8,1980,1980-08-01
ROK,732,A2.9-7972,Roh Tae Woo,24,2,1988,1988-02-24,2,1993,1993-02-01,1932,Male,True,12,1987,1987-12-01
ROK,732,A2.9-7975,Kim Young Sam,25,2,1993,1993-02-25,2,1998,1998-02-01,1927,Male,False,12,1992,1992-12-01
ROK,732,A2.9-7978,Kim Dae Jung,25,2,1998,1998-02-25,2,2003,2003-02-01,1925,Male,False,12,1997,1997-12-01
ROK,732,A2.9-7981,Roh Moo Hyun,25,2,2003,2003-02-25,2,2008,2008-02-01,1946,Male,False,12,2002,2002-12-01
ROK,732,A3.0-182,Lee Myung Bak,25,2,2008,2008-02-25,2,2013,2013-02-01,1941,Male,False,12,2007,2007-12-01
ROK,732,cb-732-1,Park Geun Hye,25,2,2013,2013-02-25,12,2016,2016-12-01,1952,Female,False,12,2012,2012-12-01
ROK,732,se-732-2,Hwang Kyo Ahn,9,12,2016,2016-12-09,5,2017,2017-05-01,1957,Male,False,0,0,
ROK,732,se-732-3,Moon Jae-in,10,5,2017,2017-05-10,0,0,,1953,Male,False,5,2017,2017-05-01
JPN,740,cb-740-00001,MacArthur,2,9,1945,1945-09-02,4,1951,1951-04-01,1880,Male,True,0,0,
JPN,740,A2.9-8134,Matthew Bunker Ridgway,11,4,1951,1951-04-11,4,1952,1952-04-01,1895,Male,True,0,0,
JPN,740,A2.9-8137,"Yoshida, Shigeru",29,4,1952,1952-04-29,12,1954,1954-12-01,1878,Male,False,0,0,
JPN,740,A2.9-8140,Hatoyama,9,12,1954,1954-12-09,12,1956,1956-12-01,1883,Male,False,0,0,
JPN,740,A2.9-8143,Ishibashi,23,12,1956,1956-12-23,2,1957,1957-02-01,1884,Male,False,0,0,
JPN,740,A2.9-8146,Kishi,25,2,1957,1957-02-25,7,1960,1960-07-01,1896,Male,False,0,0,
JPN,740,A2.9-8149,Ikeda,18,7,1960,1960-07-18,10,1964,1964-10-01,1899,Male,False,0,0,
JPN,740,A2.9-8152,Sato,9,11,1964,1964-11-09,7,1972,1972-07-01,1901,Male,False,0,0,
JPN,740,A2.9-8155,Tanaka,6,7,1972,1972-07-06,12,1974,1974-12-01,1918,Male,False,0,0,
JPN,740,A2.9-8158,Miki,9,12,1974,1974-12-09,12,1976,1976-12-01,1907,Male,False,0,0,
JPN,740,A2.9-8161,Fukuda,24,12,1976,1976-12-24,12,1978,1978-12-01,1905,Male,False,0,0,
JPN,740,A2.9-8164,Ohira,7,12,1978,1978-12-07,6,1980,1980-06-01,1910,Male,False,0,0,
JPN,740,A2.9-8167,Ito,12,6,1980,1980-06-12,7,1980,1980-07-01,1913,Male,False,0,0,
JPN,740,A2.9-8170,Suzuki,17,7,1980,1980-07-17,11,1982,1982-11-01,1911,Male,False,0,0,
JPN,740,A2.9-8173,Nakasone,26,11,1982,1982-11-26,11,1987,1987-11-01,1918,Male,False,0,0,
JPN,740,A2.9-8176,Takeshita,6,11,1987,1987-11-06,6,1989,1989-06-01,1924,Male,False,0,0,
JPN,740,A2.9-8179,Uno,2,6,1989,1989-06-02,8,1989,1989-08-01,1922,Male,False,0,0,
JPN,740,A2.9-8182,Kaifu,9,8,1989,1989-08-09,11,1991,1991-11-01,1931,Male,False,0,0,
JPN,740,A2.9-8185,Miyazawa,6,11,1991,1991-11-06,8,1993,1993-08-01,1919,Male,False,0,0,
JPN,740,A2.9-8188,Hosokawa,9,8,1993,1993-08-09,4,1994,1994-04-01,1938,Male,False,0,0,
JPN,740,A2.9-8191,Hata,25,4,1994,1994-04-25,6,1994,1994-06-01,1935,Male,False,0,0,
JPN,740,A2.9-8194,Murayama,29,6,1994,1994-06-29,1,1996,1996-01-01,1924,Male,False,0,0,
JPN,740,A2.9-8197,Hashimoto,11,1,1996,1996-01-11,7,1998,1998-07-01,1937,Male,False,0,0,
JPN,740,A2.9-8200,Obuchi,30,7,1998,1998-07-30,4,2000,2000-04-01,1937,Male,False,0,0,
JPN,740,A2.9-8206,Yoshiro Mori,5,4,2000,2000-04-05,4,2001,2001-04-01,1937,Male,False,0,0,
JPN,740,A2.9-8209,Junichiro Koizumi,26,4,2001,2001-04-26,9,2006,2006-09-01,1942,Male,False,0,0,
JPN,740,A3.0-183,Shinzo Abe,26,9,2006,2006-09-26,9,2007,2007-09-01,1954,Male,False,0,0,
JPN,740,A3.0-184,Yasuo Fukuda,26,9,2007,2007-09-26,9,2008,2008-09-01,1936,Male,False,0,0,
JPN,740,A3.0-185,Taro Aso,24,9,2008,2008-09-24,9,2009,2009-09-01,1940,Male,False,0,0,
JPN,740,A3.0-186,Hatoyama Yukio,16,9,2009,2009-09-16,6,2010,2010-06-01,1947,Male,False,0,0,
JPN,740,A3.0-187,Naoto Kan,8,6,2010,2010-06-08,9,2011,2011-09-01,1946,Male,False,0,0,
JPN,740,A3.0-188,Yoshihiko Noda,2,9,2011,2011-09-02,12,2012,2012-12-01,1957,Male,False,0,0,
JPN,740,cb-740-1,Shinzo Abe,26,12,2012,2012-12-26,9,2020,2020-09-01,1954,Male,False,0,0,
JPN,740,ctb-740-1,Yoshihide Suga,14,9,2020,2020-09-14,0,0,,1948,Male,False,0,0,
IND,750,A2.9-8212,Nehru,15,8,1947,1947-08-15,5,1964,1964-05-01,1889,Male,False,10,1951,1951-10-01
IND,750,A2.9-8215,Nanda,27,5,1964,1964-05-27,6,1964,1964-06-01,1898,Male,False,0,0,
IND,750,A2.9-8218,Shastri,9,6,1964,1964-06-09,1,1966,1966-01-01,1904,Male,False,0,0,
IND,750,A2.9-8221,Nanda,11,1,1966,1966-01-11,1,1966,1966-01-01,1898,Male,False,0,0,
IND,750,A2.9-8224,"Gandhi, I.",24,1,1966,1966-01-24,3,1977,1977-03-01,1917,Female,False,2,1967,1967-02-01
IND,750,A2.9-8227,Desai,24,3,1977,1977-03-24,6,1979,1979-06-01,1896,Male,False,3,1977,1977-03-01
IND,750,A2.9-8230,Charan Singh,28,7,1979,1979-07-28,1,1980,1980-01-01,1902,Male,False,0,0,
IND,750,A2.9-8233,"Gandhi, I.",14,1,1980,1980-01-14,10,1984,1984-10-01,1917,Female,False,1,1980,1980-01-01
IND,750,A2.9-8236,"Gandhi, R.",31,10,1984,1984-10-31,12,1989,1989-12-01,1944,Male,False,12,1984,1984-12-01
IND,750,A2.9-8239,Pratap Singh,2,12,1989,1989-12-02,11,1990,1990-11-01,1931,Male,False,11,1989,1989-11-01
IND,750,A2.9-8242,Shekhar,10,11,1990,1990-11-10,6,1991,1991-06-01,1927,Male,False,0,0,
IND,750,A2.9-8245,Rao,21,6,1991,1991-06-21,5,1996,1996-05-01,1921,Male,False,6,1991,1991-06-01
IND,750,A2.9-8248,Vajpayee,16,5,1996,1996-05-16,6,1996,1996-06-01,1924,Male,False,5,1996,1996-05-01
IND,750,A2.9-8251,Gowda,1,6,1996,1996-06-01,4,1997,1997-04-01,1933,Male,False,0,0,
IND,750,A2.9-8254,Gujral,21,4,1997,1997-04-21,3,1998,1998-03-01,1919,Male,False,0,0,
IND,750,A2.9-8257,Vajpayee,19,3,1998,1998-03-19,5,2004,2004-05-01,1924,Male,False,2,1998,1998-02-01
IND,750,A2.9-8260,Manmohan Singh,22,5,2004,2004-05-22,5,2014,2014-05-01,1932,Male,False,4,2004,2004-04-01
IND,750,cb-750-1,Narendra Modi,26,5,2014,2014-05-26,0,0,,1950,Male,False,5,2014,2014-05-01
BHU,760,A2.9-8266,"Wangchuk, Jigme Dorji",24,3,1952,1952-03-24,7,1972,1972-07-01,1929,Male,False,0,0,
BHU,760,A2.9-8269,"Wangchuck, Jigme Singye",21,7,1972,1972-07-21,7,1998,1998-07-01,1955,Male,False,0,0,
BHU,760,A2.9-8272,Lyonpo Jigme Thinley,20,7,1998,1998-07-20,7,1999,1999-07-01,1952,Male,False,0,0,
BHU,760,A2.9-8275,Lyonpo Sangay Ngedup,9,7,1999,1999-07-09,7,2000,2000-07-01,1953,Male,False,0,0,
BHU,760,A2.9-8278,Lyonpo Yeshey Zimba,20,7,2000,2000-07-20,8,2001,2001-08-01,1952,Male,False,0,0,
BHU,760,A2.9-8281,Lyonpo Khandu Wangchuk,8,8,2001,2001-08-08,8,2002,2002-08-01,1950,Male,False,0,0,
BHU,760,A2.9-8284,Lyonpo Kinzang Dorji,14,8,2002,2002-08-14,8,2003,2003-08-01,1951,Male,False,0,0,
BHU,760,A2.9-8287,Lyonpo Jigme Thinley,30,8,2003,2003-08-30,8,2004,2004-08-01,1952,Male,False,0,0,
BHU,760,A2.9-8290,Lyonpo Yeshey Zimba,18,8,2004,2004-08-18,9,2005,2005-09-01,1952,Male,False,0,0,
BHU,760,A3.0-189,Lyonpo Sangay Ngedup,5,9,2005,2005-09-05,9,2006,2006-09-01,1953,Male,False,0,0,
BHU,760,A3.0-190,Lyonpo Khandu Wangchuk,7,9,2006,2006-09-07,7,2007,2007-07-01,1950,Male,False,0,0,
BHU,760,A3.0-191,Lyonpo Kinzang Dorji,31,7,2007,2007-07-31,4,2008,2008-04-01,1951,Male,False,0,0,
BHU,760,A3.0-192,Lyonpo Jigme Thinley,9,4,2008,2008-04-09,4,2013,2013-04-01,1952,Male,False,3,2008,2008-03-01
BHU,760,cb-760-1,Tobgye,28,4,2013,2013-04-28,7,2013,2013-07-01,1949,Male,False,0,0,
BHU,760,cb-760-2,Tobgay,27,7,2013,2013-07-27,8,2018,2018-08-01,1965,Male,False,7,2013,2013-07-01
BHU,760,cb-760-3,Tschering Wangchuk,9,8,2018,2018-08-09,11,2018,2018-11-01,1963,Male,True,0,0,
BHU,760,cb-760-4,Lotay Tshering,7,11,2018,2018-11-07,0,0,,1968,Male,False,10,2018,2018-10-01
PAK,770,A2.9-8296,L. Khan,11,9,1948,1948-09-11,10,1951,1951-10-01,1895,Male,False,0,0,
PAK,770,A2.9-8299,Nazimuddin,17,10,1951,1951-10-17,4,1953,1953-04-01,1894,Male,False,0,0,
PAK,770,A2.9-8302,Mohammed Ali,17,4,1953,1953-04-17,8,1955,1955-08-01,1909,Male,False,0,0,
PAK,770,A2.9-8305,Chaudhri M. Ali,11,8,1955,1955-08-11,9,1956,1956-09-01,1905,Male,False,0,0,
PAK,770,A2.9-8308,Shahid Suhrawardy,12,9,1956,1956-09-12,10,1957,1957-10-01,1893,Male,False,0,0,
PAK,770,A2.9-8311,Chundrigar,17,10,1957,1957-10-17,12,1957,1957-12-01,1897,Male,False,0,0,
PAK,770,A2.9-8314,Khan Noon,16,12,1957,1957-12-16,10,1958,1958-10-01,1893,Male,False,0,0,
PAK,770,A2.9-8317,Ayub Khan,7,10,1958,1958-10-07,3,1969,1969-03-01,1907,Male,True,0,0,
PAK,770,A2.9-8320,Yahya Khan,31,3,1969,1969-03-31,12,1971,1971-12-01,1917,Male,True,0,0,
PAK,770,A2.9-8323,Bhutto,20,12,1971,1971-12-20,7,1977,1977-07-01,1928,Male,False,12,1970,1970-12-01
PAK,770,A2.9-8326,Zia,5,7,1977,1977-07-05,8,1988,1988-08-01,1924,Male,True,12,1984,1984-12-01
PAK,770,A2.9-8329,Ishaq Khan,17,8,1988,1988-08-17,12,1988,1988-12-01,1915,Male,False,0,0,
PAK,770,A2.9-8332,Bhutto Benazir,2,12,1988,1988-12-02,8,1990,1990-08-01,1953,Female,False,11,1988,1988-11-01
PAK,770,A2.9-8335,Jatoi,6,8,1990,1990-08-06,11,1990,1990-11-01,1931,Male,False,0,0,
PAK,770,A2.9-8338,Sharif,6,11,1990,1990-11-06,4,1993,1993-04-01,1949,Male,False,10,1990,1990-10-01
PAK,770,A2.9-8341,Mazari,18,4,1993,1993-04-18,5,1993,1993-05-01,1922,Male,False,0,0,
PAK,770,A2.9-8344,Sharif,26,5,1993,1993-05-26,7,1993,1993-07-01,1949,Male,False,10,1990,1990-10-01
PAK,770,A2.9-8347,Qureshi,19,7,1993,1993-07-19,10,1993,1993-10-01,1930,Male,False,0,0,
PAK,770,A2.9-8350,Bhutto Benazir,19,10,1993,1993-10-19,11,1996,1996-11-01,1953,Female,False,10,1993,1993-10-01
PAK,770,A2.9-8353,Khalid,5,11,1996,1996-11-05,2,1997,1997-02-01,1916,Male,False,0,0,
PAK,770,A2.9-8356,Sharif,17,2,1997,1997-02-17,10,1999,1999-10-01,1949,Male,False,0,0,
PAK,770,A2.9-8359,Musharraf,14,10,1999,1999-10-14,8,2008,2008-08-01,1943,Male,True,4,2002,2002-04-01
PAK,770,A3.0-193,Soomro,18,8,2008,2008-08-18,9,2008,2008-09-01,1950,Male,False,0,0,
PAK,770,A3.0-194,Zardari,9,9,2008,2008-09-09,6,2013,2013-06-01,1955,Male,False,0,0,
PAK,770,cb-770-1,Sharif,5,6,2013,2013-06-05,7,2017,2017-07-01,1949,Male,False,5,2013,2013-05-01
PAK,770,cb-770-2,Abbasi,1,8,2017,2017-08-01,5,2018,2018-05-01,1958,Male,False,0,0,
PAK,770,ctb-770-3,Mulk,1,6,2018,2018-06-01,8,2018,2018-08-01,1950,Male,False,0,0,
PAK,770,ctb-770-4,Imran Khan,18,8,2018,2018-08-18,0,0,,1952,Male,False,5,2013,2013-05-01
BNG,771,A2.9-8362,Syed Nazrul Islam,11,4,1971,1971-04-11,1,1972,1972-01-01,1925,Male,False,0,0,
BNG,771,A2.9-8365,Sheikh Mujib Rahman,13,1,1972,1972-01-13,8,1975,1975-08-01,1920,Male,False,12,1970,1970-12-01
BNG,771,A2.9-8368,Moshtaque Ahmed,15,8,1975,1975-08-15,11,1975,1975-11-01,1918,Male,False,0,0,
BNG,771,A2.9-8371,Ziaur Rahman,6,11,1975,1975-11-06,5,1981,1981-05-01,1936,Male,True,12,1970,1970-12-01
BNG,771,A2.9-8374,Sattar,30,5,1981,1981-05-30,3,1982,1982-03-01,1906,Male,False,11,1981,1981-11-01
BNG,771,A2.9-8377,Ershad,27,3,1982,1982-03-27,12,1990,1990-12-01,1930,Male,True,3,1985,1985-03-01
BNG,771,A2.9-8380,Ahmed,6,12,1990,1990-12-06,3,1991,1991-03-01,1930,Male,False,0,0,
BNG,771,A2.9-8383,Khaleda Zia,20,3,1991,1991-03-20,3,1996,1996-03-01,1945,Female,False,2,1991,1991-02-01
BNG,771,A2.9-8386,Mohammad Habibur Rahman,30,3,1996,1996-03-30,6,1996,1996-06-01,1930,Male,False,0,0,
BNG,771,A2.9-8389,Hasina Wazed,23,6,1996,1996-06-23,7,2001,2001-07-01,1947,Female,False,6,1996,1996-06-01
BNG,771,A2.9-8392,Latifur Rahman,15,7,2001,2001-07-15,10,2001,2001-10-01,1936,Male,False,0,0,
BNG,771,A2.9-8395,Khaleda Zia,10,10,2001,2001-10-10,10,2006,2006-10-01,1945,Female,False,10,2001,2001-10-01
BNG,771,A3.0-195,Iajuddin,29,10,2006,2006-10-29,1,2007,2007-01-01,1931,Male,False,0,0,
BNG,771,A3.0-196,Fakhruddin,11,1,2007,2007-01-11,1,2009,2009-01-01,1940,Male,False,0,0,
BNG,771,A3.0-197,Hasina Wazed,6,1,2009,2009-01-06,0,0,,1947,Female,False,12,2008,2008-12-01
MYA,775,A2.9-8407,U Nu,4,1,1948,1948-01-04,6,1956,1956-06-01,1907,Male,False,4,1947,1947-04-01
MYA,775,A2.9-8410,U Ba Swe,12,6,1956,1956-06-12,2,1957,1957-02-01,1915,Male,False,0,0,
MYA,775,A2.9-8413,U Nu,28,2,1957,1957-02-28,10,1958,1958-10-01,1907,Male,False,0,0,
MYA,775,A2.9-8416,Ne Win,29,10,1958,1958-10-29,3,1960,1960-03-01,1911,Male,True,0,0,
MYA,775,A2.9-8419,U Nu,4,4,1960,1960-04-04,3,1962,1962-03-01,1907,Male,False,2,1960,1960-02-01
MYA,775,A2.9-8422,Ne Win,2,3,1962,1962-03-02,7,1988,1988-07-01,1911,Male,True,12,1973,1973-12-01
MYA,775,A2.9-8425,Sein Lwin,25,7,1988,1988-07-25,8,1988,1988-08-01,1924,Male,True,0,0,
MYA,775,A2.9-8428,Maung Maung,19,8,1988,1988-08-19,9,1988,1988-09-01,1925,Male,False,0,0,
MYA,775,A2.9-8431,Saw Maung,18,9,1988,1988-09-18,4,1992,1992-04-01,1928,Male,True,0,0,
MYA,775,A2.9-8434,Than Shwe,23,4,1992,1992-04-23,3,2011,2011-03-01,1933,Male,True,0,0,
MYA,775,cb-775-1,Thein Sein,30,3,2011,2011-03-30,3,2016,2016-03-01,1945,Male,True,11,2010,2010-11-01
MYA,775,kb-775-1,Aung San Suu Kyi,30,3,2016,2016-03-30,2,2021,2021-02-01,1945,Female,False,0,0,
MYA,775,ctb-775-1,Min Aung Hlaing,1,2,2021,2021-02-01,0,0,,1956,Male,True,0,0,
SRI,780,A2.9-8437,"Senanayake, Don",4,2,1948,1948-02-04,3,1952,1952-03-01,1884,Male,False,8,1947,1947-08-01
SRI,780,A2.9-8440,"Senanayake, Dudley",26,3,1952,1952-03-26,10,1953,1953-10-01,1911,Male,False,5,1952,1952-05-01
SRI,780,A2.9-8443,Kotelawala,12,10,1953,1953-10-12,4,1956,1956-04-01,1897,Male,False,0,0,
SRI,780,A2.9-8446,"Bandaranaike, S.W.R.D.",12,4,1956,1956-04-12,9,1959,1959-09-01,1899,Male,False,4,1956,1956-04-01
SRI,780,A2.9-8449,Dahanayake,26,9,1959,1959-09-26,3,1960,1960-03-01,1902,Male,False,0,0,
SRI,780,A2.9-8452,"Senanayake, Dudley",21,3,1960,1960-03-21,7,1960,1960-07-01,1911,Male,False,3,1960,1960-03-01
SRI,780,A2.9-8455,"Bandaranaike, S",22,7,1960,1960-07-22,3,1965,1965-03-01,1916,Female,False,7,1960,1960-07-01
SRI,780,A2.9-8458,"Senanayake, Dudley",25,3,1965,1965-03-25,5,1970,1970-05-01,1911,Male,False,3,1965,1965-03-01
SRI,780,A2.9-8461,"Bandaranaike, S",31,5,1970,1970-05-31,7,1977,1977-07-01,1916,Female,False,5,1970,1970-05-01
SRI,780,A2.9-8464,Jayewardene,23,7,1977,1977-07-23,1,1989,1989-01-01,1906,Male,False,7,1977,1977-07-01
SRI,780,A2.9-8467,Premadasa,2,1,1989,1989-01-02,5,1993,1993-05-01,1924,Male,False,12,1988,1988-12-01
SRI,780,A2.9-8470,Wijetunge,1,5,1993,1993-05-01,11,1994,1994-11-01,1922,Male,False,0,0,
SRI,780,A2.9-8473,Kumaratunga,12,11,1994,1994-11-12,11,2005,2005-11-01,1945,Female,False,11,1994,1994-11-01
SRI,780,A3.0-198,M. Rajapakse,19,11,2005,2005-11-19,1,2015,2015-01-01,1945,Male,False,11,2005,2005-11-01
SRI,780,cb-780-1,Sirisena,9,1,2015,2015-01-09,11,2019,2019-11-01,1951,Male,False,1,2015,2015-01-01
SRI,780,ctb-780-1,G. Rajapakse,18,11,2019,2019-11-18,0,0,,1949,Male,True,11,2019,2019-11-01
MAD,781,A2.9-8479,Nasir,26,7,1965,1965-07-26,11,1978,1978-11-01,1926,Male,False,9,1968,1968-09-01
MAD,781,A2.9-8482,Gayoom,11,11,1978,1978-11-11,11,2008,2008-11-01,1937,Male,False,7,1978,1978-07-01
MAD,781,A3.0-199,Nasheed,11,11,2008,2008-11-11,2,2012,2012-02-01,1967,Male,False,10,2008,2008-10-01
MAD,781,cb-781-1,Mohamed Waheed Hassan,7,2,2012,2012-02-07,11,2013,2013-11-01,1953,Male,False,0,0,
MAD,781,cb-781-2,Abdulla Yameen,17,11,2013,2013-11-17,11,2018,2018-11-01,1959,Male,False,11,2013,2013-11-01
MAD,781,cb-781-3,Ibrahim Solih,17,11,2018,2018-11-17,0,0,,1964,Male,False,9,2018,2018-09-01
NEP,790,A2.9-8509,Mohan Rana,9,2,1948,1948-02-09,2,1951,1951-02-01,1885,Male,False,0,0,
NEP,790,A2.9-8512,Tribhuvan,18,2,1951,1951-02-18,3,1955,1955-03-01,1906,Male,False,0,0,
NEP,790,A2.9-8515,Mahendra,14,3,1955,1955-03-14,1,1972,1972-01-01,1920,Male,False,0,0,
NEP,790,A2.9-8518,Birendra,31,1,1972,1972-01-31,11,1990,1990-11-01,1946,Male,False,0,0,
NEP,790,A2.9-8521,Krishna Prasad Bhatterai,9,11,1990,1990-11-09,5,1991,1991-05-01,1924,Male,False,0,0,
NEP,790,A2.9-8524,Girija Prasad Koirala,26,5,1991,1991-05-26,11,1994,1994-11-01,1925,Male,False,5,1991,1991-05-01
NEP,790,A2.9-8527,Man Mohan Adhikari,30,11,1994,1994-11-30,9,1995,1995-09-01,1920,Male,False,11,1994,1994-11-01
NEP,790,A2.9-8530,Sher Bahadur Deuba,12,9,1995,1995-09-12,3,1997,1997-03-01,1946,Male,False,0,0,
NEP,790,A2.9-8533,Lokendra Bahadur Chand,12,3,1997,1997-03-12,10,1997,1997-10-01,1940,Male,False,0,0,
NEP,790,A2.9-8536,Surya  Bahadur Thapa,7,10,1997,1997-10-07,4,1998,1998-04-01,1928,Male,False,0,0,
NEP,790,A2.9-8539,Girija Prasad Koirala,15,4,1998,1998-04-15,5,1999,1999-05-01,1925,Male,False,0,0,
NEP,790,A2.9-8542,Krishna Prasad Bhatterai,31,5,1999,1999-05-31,3,2000,2000-03-01,1924,Male,False,5,1999,1999-05-01
NEP,790,A2.9-8545,Girija Prasad Koirala,22,3,2000,2000-03-22,7,2001,2001-07-01,1925,Male,False,0,0,
NEP,790,A2.9-8548,Sher Bahdur Deuba,26,7,2001,2001-07-26,10,2002,2002-10-01,1946,Male,False,0,0,
NEP,790,A2.9-8551,Lokendra Bahadur Chand,11,10,2002,2002-10-11,6,2003,2003-06-01,1940,Male,False,0,0,
NEP,790,A2.9-8554,Surya Bahadur Thapa,5,6,2003,2003-06-05,6,2004,2004-06-01,1928,Male,False,0,0,
NEP,790,A2.9-8557,Sher Bahdur Deuba,3,6,2004,2004-06-03,2,2005,2005-02-01,1946,Male,False,0,0,
