State Abbreviation,ccode,Lead Id,Leader,Day of Start of Term of Office,Month of Start of Term of Office,Year of Start of Term of Office,Date of Term Of Office,Month of End of Term of Office,Year of End of Term of Office,Date of End of Term of Office,Year of birth,Gender,Military Career,Month of Election or Re-election Result,Year of Election or Re-election Result,Date of Election or Re-election Result
GRN,55,cb-55-8,Brizan,1,2,1995,1995-02-01,6,1995,1995-06-01,1942,Male,False,0,0,
GRN,55,cb-55-9,Mitchell,22,6,1995,1995-06-22,7,2008,2008-07-01,1946,Male,False,6,1995,1995-06-01
GRN,55,cb-55-10,Thomas,9,7,2008,2008-07-09,2,2013,2013-02-01,1947,Male,False,7,2008,2008-07-01
GRN,55,cb-55-11,Mitchell,20,2,2013,2013-02-20,0,0,,1946,Male,False,2,2013,2013-02-01
SLU,56,cb-56-1,Compton,22,2,1979,1979-02-22,7,1979,1979-07-01,1925,Male,False,0,0,
SLU,56,cb-56-2,Louisy,2,7,1979,1979-07-02,5,1981,1981-05-01,1916,Male,False,7,1979,1979-07-01
SLU,56,cb-56-3,Cenac,4,5,1981,1981-05-04,1,1982,1982-01-01,1925,Male,False,0,0,
SLU,56,cb-56-4,Pilgrim,17,1,1982,1982-01-17,5,1982,1982-05-01,1925,Male,False,0,0,
SLU,56,cb-56-5,Compton,3,5,1982,1982-05-03,4,1996,1996-04-01,1925,Male,False,5,1982,1982-05-01
SLU,56,cb-56-6,Lewis,2,4,1996,1996-04-02,5,1997,1997-05-01,1940,Male,False,0,0,
SLU,56,cb-56-7,Anthony,24,5,1997,1997-05-24,12,2006,2006-12-01,1951,Male,False,5,1997,1997-05-01
SLU,56,cb-56-8,Compton,15,12,2006,2006-12-15,5,2007,2007-05-01,1925,Male,False,12,2006,2006-12-01
SLU,56,cb-56-9,King,1,5,2007,2007-05-01,11,2011,2011-11-01,1958,Male,False,0,0,
SLU,56,cb-56-10,Anthony,30,11,2011,2011-11-30,6,2016,2016-06-01,1951,Male,False,11,2011,2011-11-01
SLU,56,cb-56-11,Chastanet,7,6,2016,2016-06-07,7,2021,2021-07-01,1961,Male,False,6,2016,2016-06-01
SLU,56,mf-56-1,Pierre,28,7,2021,2021-07-28,0,0,,1955,Male,False,7,2021,2021-07-01
SVG,57,cb-57-1,Cato,27,10,1979,1979-10-27,7,1984,1984-07-01,1915,Male,False,12,1979,1979-12-01
SVG,57,cb-57-2,Mitchell,30,7,1984,1984-07-30,10,2000,2000-10-01,1931,Male,False,7,1984,1984-07-01
SVG,57,cb-57-3,Eustace,27,10,2000,2000-10-27,3,2001,2001-03-01,1944,Male,False,0,0,
SVG,57,cb-57-4,Gonsalves,29,3,2001,2001-03-29,0,0,,1946,Male,False,3,2001,2001-03-01
AAB,58,cb-58-1,Vere Bird,1,11,1981,1981-11-01,3,1994,1994-03-01,1948,Male,False,4,1980,1980-04-01
AAB,58,cb-58-2,Lester Bird,9,3,1994,1994-03-09,3,2004,2004-03-01,1938,Male,False,2,1994,1994-02-01
AAB,58,cb-58-3,Spencer,24,3,2004,2004-03-24,6,2014,2014-06-01,1948,Male,False,3,2004,2004-03-01
AAB,58,cb-58-4,Browne,13,6,2014,2014-06-13,0,0,,1967,Male,False,6,2014,2014-06-01
SKN,60,cb-60-1,Simmonds,19,9,1983,1983-09-19,7,1995,1995-07-01,1936,Male,False,2,1980,1980-02-01
SKN,60,cb-60-2,Douglas,4,7,1995,1995-07-04,2,2015,2015-02-01,1953,Male,False,7,1995,1995-07-01
SKN,60,cb-60-3,Harris,18,2,2015,2015-02-18,0,0,,1964,Male,False,2,2015,2015-02-01
MEX,70,A2.9-589,Aleman Valdes,1,12,1946,1946-12-01,12,1952,1952-12-01,1903,Male,False,7,1946,1946-07-01
MEX,70,A2.9-592,Ruiz Cortines,1,12,1952,1952-12-01,12,1958,1958-12-01,1890,Male,False,7,1952,1952-07-01
MEX,70,A2.9-595,Lopez Mateos,1,12,1958,1958-12-01,12,1964,1964-12-01,1910,Male,False,7,1958,1958-07-01
MEX,70,A2.9-598,Diaz Ordaz,1,12,1964,1964-12-01,12,1970,1970-12-01,1911,Male,False,7,1964,1964-07-01
MEX,70,A2.9-601,Echeverria Alvarez,1,12,1970,1970-12-01,12,1976,1976-12-01,1922,Male,False,7,1970,1970-07-01
MEX,70,A2.9-604,Lopez Portillo,1,12,1976,1976-12-01,12,1982,1982-12-01,1920,Male,False,7,1976,1976-07-01
MEX,70,A2.9-607,de La Madrid,1,12,1982,1982-12-01,12,1988,1988-12-01,1934,Male,False,7,1982,1982-07-01
MEX,70,A2.9-610,Salinas,1,12,1988,1988-12-01,11,1994,1994-11-01,1948,Male,False,7,1988,1988-07-01
MEX,70,A2.9-613,Zedillo,1,12,1994,1994-12-01,11,2000,2000-11-01,1951,Male,False,7,1994,1994-07-01
